"vout
References : ['plot_vs(vin, vout)']
Dependency : [time]
Num. Points : [1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [vout]
Num. Points : [1006]
Matrix Size : scalar
Type : Real"
1.676,7.033
1.612,6.969
1.547,6.904
1.481,6.839
1.415,6.772
1.347,6.705
1.278,6.636
1.209,6.567
1.138,6.497
1.067,6.425
0.995,6.353
0.922,6.280
0.848,6.207
0.774,6.132
0.698,6.057
0.622,5.981
0.546,5.904
0.468,5.826
0.390,5.748
0.311,5.669
0.232,5.589
0.151,5.509
0.071,5.428
-0.011,5.346
-0.093,5.263
-0.175,5.181
-0.259,5.097
-0.342,5.013
-0.426,4.928
-0.511,4.843
-0.596,4.757
-0.682,4.671
-0.768,4.585
-0.854,4.497
-0.941,4.410
-1.029,4.322
-1.116,4.234
-1.204,4.145
-1.292,4.056
-1.381,3.966
-1.470,3.877
-1.559,3.787
-1.648,3.697
-1.738,3.606
-1.828,3.515
-1.918,3.424
-2.008,3.333
-2.098,3.242
-2.188,3.151
-2.279,3.059
-2.369,2.967
-2.460,2.876
-2.550,2.784
-2.641,2.692
-2.732,2.600
-2.822,2.508
-2.913,2.416
-3.003,2.325
-3.093,2.233
-3.184,2.141
-3.274,2.050
-3.364,1.958
-3.454,1.867
-3.543,1.776
-3.632,1.685
-3.722,1.594
-3.810,1.504
-3.899,1.414
-3.987,1.324
-4.075,1.234
-4.163,1.144
-4.250,1.055
-4.337,0.967
-4.424,0.878
-4.510,0.790
-4.596,0.703
-4.681,0.616
-4.765,0.529
-4.850,0.443
-4.933,0.357
-5.017,0.272
-5.099,0.187
-5.181,0.103
-5.263,0.020
-5.344,-0.063
-5.424,-0.146
-5.504,-0.227
-5.582,-0.308
-5.661,-0.389
-5.738,-0.469
-5.815,-0.548
-5.891,-0.626
-5.967,-0.704
-6.041,-0.781
-6.115,-0.857
-6.188,-0.932
-6.260,-1.007
-6.331,-1.080
-6.402,-1.153
-6.472,-1.225
-6.540,-1.297
-6.608,-1.367
-6.675,-1.436
-6.741,-1.505
-6.806,-1.572
-6.870,-1.639
-6.933,-1.705
-6.995,-1.769
-7.056,-1.833
-7.116,-1.896
-7.176,-1.957
-7.234,-2.018
-7.291,-2.078
-7.346,-2.136
-7.401,-2.194
-7.455,-2.250
-7.496,-2.293
